matter_category,practice_area,ip_matter_flag,ip_matter_type,ip_tech_domain,draft_complexity_tier,expected_claim_count,has_drawings,expected_oa_count,examiner_difficulty_score,rce_risk_flag,experts_required,num_depositions_expected,early_settlement_probability,fto_patent_count,fto_scope_complexity,gen_complexity,gen_duration_days,phase_pleadings,phase_markman,phase_discovery,phase_summary_judgment,phase_trial,complexity_score,duration_days,client_type,client_industry,client_size_revenue,competitive_position,competitor_avg_quote,complexity_urgency,team_effort,team_size,years_as_client,previous_matters,client_satisfaction,total_hours,estimated_cost,fee_structure,is_subscription_model,is_phase_based_model,has_success_fee_component,target_fee,realized_margin_pct,win_probability,won_matter_flag
IP,IP - Prosecution,1,Prosecution,Pharma,,0,0,3,8,1,0,0,0,0,,0,0,0,0,0,0,0,10,365,Existing - Non-Strategic,Other,14.43,1.92,30283,4,10,2,5,29,7,58.5,13002,Fixed Fee per OA,0,0,0,26667,111.3,0.725,1
IP,IP - FTO,1,FTO,Semiconductors,,0,0,0,0,0,0,0,0,42,Broad,0,0,0,0,0,0,0,9.42,30,Existing - Strategic,Life Sciences,10.08,-0.03,26454,10,2,6,3,6,5,58.7,17439,Fixed Fee per FTO,0,0,0,31163,78.1,0.368,0
IP,IP - Prosecution,1,Prosecution,MedTech,,0,0,1,5,0,0,0,0,0,,0,0,0,0,0,0,0,7.5,365,Existing - Non-Strategic,Manufacturing,52.65,-1.17,28459,8,10,1,3,31,10,83.1,20983,Portfolio Subscription,1,0,0,36376,76.6,0.344,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,7,278,0,0,0,0,0,7,278,New,Finance,34.31,0.52,25127,4,1,5,8,20,10,185.4,39945,Success-Based,0,0,1,72128,73.7,0.13,0
IP,IP - Patent Drafting,1,Patent Drafting,Pharma,Simple,23,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3.575,30,Existing - Non-Strategic,Other,57.59,1.49,13938,8,4,2,3,29,10,47,8083,Tiered (Simple/Medium/Complex),0,0,0,14925,80.5,0.622,1
IP,IP - Prosecution,1,Prosecution,Pharma,,0,0,3,4,0,0,0,0,0,,0,0,0,0,0,0,0,9,365,Existing - Strategic,Manufacturing,35.23,1.87,28381,8,5,8,8,26,1,53.5,15150,Volume-based Discount Model,0,0,0,30556,101.7,0.456,0
IP,IP - PTAB,1,PTAB,AI,,0,0,0,0,0,0,4,0,0,,0,0,0,0,0,0,0,8.8,540,Existing - Non-Strategic,Energy,32.39,-1.84,34273,4,10,8,1,8,1,314.3,90107,Blended Rate,0,0,0,163974,87,0.01,0
IP,IP - Prosecution,1,Prosecution,Semiconductors,,0,0,2,7,0,0,0,0,0,,0,0,0,0,0,0,0,9.5,365,New,Energy,60.98,1.29,30610,7,4,5,1,33,8,44.1,7233,Hourly,0,0,0,14764,101.9,0.95,1
IP,IP - FTO,1,FTO,MedTech,,0,0,0,0,0,0,0,0,15,Moderate,0,0,0,0,0,0,0,7.15,30,New,Life Sciences,16.11,-0.66,23652,2,1,7,0,46,10,70.4,15900,Risk-Based (Emerging),0,0,1,24108,50.9,0.553,0
IP,IP - Litigation,1,Litigation,Pharma,,0,0,0,0,0,0,0,0.93,0,,0,0,1,1,0,1,1,10,730,Existing - Non-Strategic,Tech,51.04,-1.53,37467,7,1,5,9,32,9,791.3,168691,Blended Rate,0,0,0,245309,45,0.01,0
IP,IP - FTO,1,FTO,Other,,0,0,0,0,0,0,0,0,8,Moderate,0,0,0,0,0,0,0,7.08,30,Existing - Non-Strategic,Finance,17.95,1.16,15080,7,10,8,9,4,10,56.1,16197,Ongoing Subscription,1,0,0,34569,103.8,0.178,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,7,404,0,0,0,0,0,7,404,Existing - Non-Strategic,Other,29.37,0.93,25917,5,10,1,10,41,4,128.5,36386,Hourly,0,0,0,66371,81.9,0.036,0
IP,IP - Litigation,1,Litigation,Other,,0,0,0,0,0,0,0,0.2,0,,0,0,1,1,1,1,1,10,730,New,Energy,47.57,-1.02,39930,5,3,8,1,38,3,162.3,37554,Contingency + Base,0,0,1,69425,81.9,0.01,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,4,250,0,0,0,0,0,4,250,New,Other,123.8,0.42,15560,2,9,3,5,32,2,22.6,5322,Hourly,0,0,0,11446,115.9,0.65,1
IP,IP - FTO,1,FTO,Semiconductors,,0,0,0,0,0,0,0,0,21,Narrow,0,0,0,0,0,0,0,5.21,30,Existing - Strategic,Other,40.25,1.53,15708,10,7,8,7,13,7,79.3,21418,Tiered FTO Pricing,0,0,0,42547,89.9,0.122,0
IP,IP - Patent Drafting,1,Patent Drafting,Pharma,Simple,14,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3.35,30,Existing - Non-Strategic,Finance,80.22,-0.76,13723,5,9,6,1,13,8,54,11716,Subscription (X applications/year),1,0,0,23167,93.6,0.135,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,5,449,0,0,0,0,0,5,449,New,Manufacturing,27.46,-0.88,25507,6,10,9,5,16,6,183.5,47264,Hourly,0,0,0,96835,113.4,0.01,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,3,176,0,0,0,0,0,3,176,Existing - Strategic,Life Sciences,41.6,-0.77,11938,4,10,8,9,36,9,10,1873,Hourly,0,0,0,2691,47.1,0.952,1
IP,IP - Prosecution,1,Prosecution,Semiconductors,,0,0,2,4,1,0,0,0,0,,0,0,0,0,0,0,0,9,365,Existing - Strategic,Other,34.85,1.47,26742,5,9,5,1,19,3,64.9,17236,Portfolio Subscription,1,0,0,35615,111.7,0.303,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,3,363,0,0,0,0,0,3,363,Existing - Strategic,Energy,66.03,1.71,20720,1,5,8,4,29,5,104,16031,Success-Based,0,0,1,34822,127.1,0.2,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,6,600,0,0,0,0,0,6,600,New,Life Sciences,9.95,-0.49,28535,1,7,9,2,36,2,100.3,29759,Subscription,1,0,0,44165,45.1,0.078,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,3,181,0,0,0,0,0,3,181,Existing - Strategic,Energy,37.11,0.21,16621,3,3,1,7,27,2,191.7,48598,Fixed Fee,0,0,0,84482,78.7,0.01,0
IP,IP - FTO,1,FTO,AI,,0,0,0,0,0,0,0,0,15,Narrow,0,0,0,0,0,0,0,5.15,30,New,Tech,12.52,-0.25,15430,1,6,9,0,8,2,100.6,28176,Fixed Fee per FTO,0,0,0,42844,55.1,0.01,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,2,450,0,0,0,0,0,2,450,Existing - Strategic,Life Sciences,13.39,-1.09,21294,7,5,2,5,19,9,147.2,24429,Hourly,0,0,0,36183,51.4,0.135,0
IP,IP - PTAB,1,PTAB,Other,,0,0,0,0,0,0,6,0,0,,0,0,0,0,0,0,0,9.2,540,New,Tech,20.57,-0.64,32298,9,6,5,4,44,1,340.1,55971,Blended Rate,0,0,0,94764,73.7,0.01,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,5,47,0,0,0,0,0,5,47,New,Energy,58.17,-1.65,18701,9,2,2,7,34,9,68.6,13621,Phase-Based,0,1,0,18848,40.6,0.492,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,8,428,0,0,0,0,0,8,428,Existing - Strategic,Manufacturing,13.62,1.77,30830,5,7,2,1,20,1,19.3,4491,Hourly,0,0,0,9791,119.9,0.894,1
IP,IP - Patent Drafting,1,Patent Drafting,Other,Medium,17,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6.425,45,New,Life Sciences,28.97,-1.02,20259,4,9,11,1,40,4,21.3,5648,Tiered (Simple/Medium/Complex),0,0,0,9709,79.1,0.756,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,5,120,0,0,0,0,0,5,120,New,Energy,51.43,-0.65,15049,7,9,5,10,16,2,81.9,22608,Success-Based,0,0,1,41666,90,0.01,0
IP,IP - Patent Drafting,1,Patent Drafting,Biotech,Simple,30,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4.75,30,Existing - Strategic,Life Sciences,18.85,1.41,13679,1,10,6,3,44,2,34.7,5485,Fixed Fee per Application,0,0,0,12256,123.6,0.588,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,6,633,0,0,0,0,0,6,633,Existing - Strategic,Other,68.25,-0.58,33016,9,6,6,4,19,4,10,2767,Fixed Fee,0,0,0,5090,91.7,0.878,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,4,153,0,0,0,0,0,4,153,New,Life Sciences,20.1,-1.2,19669,5,6,9,4,21,1,114.2,23415,Phase-Based,0,1,0,37642,58.1,0.01,0
IP,IP - Patent Drafting,1,Patent Drafting,Biotech,Medium,21,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6.525,45,Existing - Non-Strategic,Other,24.01,-0.75,18960,4,6,9,4,50,9,60.6,14221,Tiered (Simple/Medium/Complex),0,0,0,26146,75.6,0.285,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,8,666,0,0,0,0,0,8,666,New,Tech,9.99,1.77,37581,9,3,6,8,9,9,66.3,15187,Subscription,1,0,0,33450,130.8,0.75,0
IP,IP - Litigation,1,Litigation,Semiconductors,,0,0,0,0,0,0,0,0.52,0,,0,0,1,1,0,1,1,10,730,Existing - Non-Strategic,Tech,78.77,-0.09,42290,3,7,5,2,40,9,273.7,65682,Collar (Risk-Sharing),0,0,1,103830,72.1,0.088,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,2,360,0,0,0,0,0,2,360,Existing - Non-Strategic,Finance,62.02,0.42,17918,3,6,5,2,28,6,90.6,16203,Subscription,1,0,0,27634,66.4,0.205,0
IP,IP - PTAB,1,PTAB,MedTech,,0,0,0,0,0,3,3,0,0,,0,0,0,0,0,0,0,10,540,New,Life Sciences,32.53,-1.28,33324,6,7,7,9,27,3,371.8,84790,Phase-Based,0,1,0,133928,60.1,0.01,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,7,376,0,0,0,0,0,7,376,Existing - Non-Strategic,Manufacturing,12.78,-1.28,23296,9,8,8,9,33,10,100.5,19046,Hourly,0,0,0,25221,33.9,0.474,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,6,333,0,0,0,0,0,6,333,Existing - Strategic,Energy,49.63,0.95,22240,9,10,7,5,42,8,108.3,23525,Success-Based,0,0,1,39347,67.4,0.198,0
IP,IP - Patent Drafting,1,Patent Drafting,Biotech,Simple,13,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4.325,30,Existing - Strategic,Manufacturing,12.07,-1.95,13318,9,4,5,4,4,6,72,15176,Fixed Fee per Application,0,0,0,25341,67.2,0.01,0
IP,IP - FTO,1,FTO,Other,,0,0,0,0,0,0,0,0,7,Moderate,0,0,0,0,0,0,0,7.07,30,Existing - Non-Strategic,Manufacturing,136.02,-0.27,22062,1,1,1,7,17,4,24.9,5815,Risk-Based (Emerging),0,0,1,9427,58,0.814,1
IP,IP - Litigation,1,Litigation,Biotech,,0,0,0,0,0,0,0,0.76,0,,0,0,0,1,0,1,1,9,730,New,Life Sciences,136.1,1.21,36539,2,7,10,10,1,3,472.5,97514,Contingency + Base,0,0,1,163322,65.7,0.021,0
IP,IP - FTO,1,FTO,Biotech,,0,0,0,0,0,0,0,0,11,Broad,0,0,0,0,0,0,0,9.11,30,Existing - Strategic,Tech,5.9,-0.23,22800,10,7,8,2,14,4,36.1,8649,Risk-Based (Emerging),0,0,1,13741,52.7,0.736,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,7,380,0,0,0,0,0,7,380,Existing - Non-Strategic,Tech,74.21,1,24945,3,9,11,4,44,10,46.4,13331,Subscription,1,0,0,21760,47.6,0.745,1
IP,IP - Prosecution,1,Prosecution,MedTech,,0,0,5,7,1,0,0,0,0,,0,0,0,0,0,0,0,10,365,Existing - Strategic,Life Sciences,73.84,-1.94,31994,2,7,8,2,20,10,95.2,28454,Fixed Fee per OA,0,0,0,40897,46.5,0.306,1
IP,IP - Litigation,1,Litigation,Biotech,,0,0,0,0,0,0,0,0.25,0,,0,0,1,1,1,1,1,10,730,Existing - Strategic,Life Sciences,47.89,-1.81,38849,10,4,7,4,21,2,522.7,101657,Contingency + Base,0,0,1,164487,63.5,0.01,0
IP,IP - Prosecution,1,Prosecution,Semiconductors,,0,0,3,4,0,0,0,0,0,,0,0,0,0,0,0,0,9,365,Existing - Non-Strategic,Manufacturing,52.54,1.46,31330,5,10,5,2,49,9,76.4,15077,Volume-based Discount Model,0,0,0,31636,114.4,0.646,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,4,494,0,0,0,0,0,4,494,Existing - Non-Strategic,Manufacturing,17.27,0.84,18996,10,9,10,0,12,2,136.7,38960,Success-Based,0,0,1,73229,93,0.01,0
IP,IP - Patent Drafting,1,Patent Drafting,Other,Simple,24,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3.6,30,Existing - Non-Strategic,Life Sciences,26.74,1.49,15162,8,2,7,3,29,7,44,6657,Tiered (Simple/Medium/Complex),0,0,0,11220,68.5,0.8,1
IP,IP - Patent Drafting,1,Patent Drafting,Other,Medium,39,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6.975,45,Existing - Non-Strategic,Life Sciences,17.01,-0.81,21301,8,4,6,4,0,9,42.9,8281,Subscription (X applications/year),1,0,0,14149,74.5,0.772,0
IP,IP - Prosecution,1,Prosecution,Semiconductors,,0,0,3,4,0,0,0,0,0,,0,0,0,0,0,0,0,9,365,Existing - Strategic,Tech,26.2,1.86,32334,9,3,5,2,33,8,104.5,31052,Hourly,0,0,0,72022,131,0.178,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,2,444,0,0,0,0,0,2,444,Existing - Strategic,Manufacturing,5.53,1.43,17552,3,7,2,5,2,6,10,2630,Phase-Based,0,1,0,5596,108.9,0.977,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,4,53,0,0,0,0,0,4,53,New,Life Sciences,84.98,-1.86,11448,8,3,7,3,9,10,100.5,17910,Phase-Based,0,1,0,32838,80,0.011,0
IP,IP - FTO,1,FTO,Semiconductors,,0,0,0,0,0,0,0,0,25,Narrow,0,0,0,0,0,0,0,5.25,30,Existing - Non-Strategic,Finance,18.11,-1.63,14803,7,3,9,6,3,9,41.2,6323,Ongoing Subscription,1,0,0,12227,90.1,0.626,1
IP,IP - FTO,1,FTO,MedTech,,0,0,0,0,0,0,0,0,32,Broad,0,0,0,0,0,0,0,9.32,30,New,Energy,43.46,0.17,24108,7,6,2,8,45,3,30,8359,Ongoing Subscription,1,0,0,14987,81.4,0.725,1
IP,IP - FTO,1,FTO,MedTech,,0,0,0,0,0,0,0,0,56,Narrow,0,0,0,0,0,0,0,5.56,30,Existing - Non-Strategic,Manufacturing,48.24,0.97,14497,7,8,4,8,24,4,86.7,25650,Fixed Fee per FTO,0,0,0,43467,67.7,0.031,0
IP,IP - Prosecution,1,Prosecution,Biotech,,0,0,3,6,0,0,0,0,0,,0,0,0,0,0,0,0,10,365,Existing - Non-Strategic,Tech,18.04,1.41,33809,8,9,7,8,35,5,56.7,9352,Hourly,0,0,0,21037,123.3,0.827,1
IP,IP - Litigation,1,Litigation,AI,,0,0,0,0,0,0,0,0.43,0,,0,0,0,1,1,1,0,9,730,Existing - Strategic,Manufacturing,13.43,-0.41,39019,10,6,2,8,46,4,388.8,113183,Collar (Risk-Sharing),0,0,1,220198,89.2,0.01,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,3,547,0,0,0,0,0,3,547,Existing - Non-Strategic,Finance,18.15,-1.15,20374,7,4,5,2,39,2,72.6,17498,Success-Based,0,0,1,35350,101.9,0.01,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,3,711,0,0,0,0,0,3,711,Existing - Non-Strategic,Manufacturing,14.75,1.47,25711,2,3,2,2,50,2,92.8,21808,Hourly,0,0,0,49741,124.5,0.071,0
IP,IP - Litigation,1,Litigation,AI,,0,0,0,0,0,0,0,0.24,0,,0,0,1,1,1,0,0,10,730,Existing - Non-Strategic,Finance,11.57,1.01,36270,5,2,1,1,22,3,431.3,97631,Blended Rate,0,0,0,158261,63.7,0.011,0
IP,IP - Prosecution,1,Prosecution,Other,,0,0,2,7,0,0,0,0,0,,0,0,0,0,0,0,0,9.5,365,Existing - Non-Strategic,Finance,60.28,1.26,31025,2,9,2,7,8,4,75.3,14758,Fixed Fee per OA,0,0,0,26750,92.6,0.645,1
IP,IP - FTO,1,FTO,Other,,0,0,0,0,0,0,0,0,15,Moderate,0,0,0,0,0,0,0,7.15,30,New,Finance,18.55,0.04,20677,3,5,7,6,23,6,10.5,3119,Risk-Based (Emerging),0,0,1,6065,94.6,0.915,1
IP,IP - Litigation,1,Litigation,AI,,0,0,0,0,0,0,0,0.21,0,,0,0,0,1,1,1,1,10,730,New,Manufacturing,32.3,-1.78,39148,8,7,2,8,18,10,465.4,120667,Collar (Risk-Sharing),0,0,1,180059,52.6,0.011,0
IP,IP - Litigation,1,Litigation,MedTech,,0,0,0,0,0,0,0,0.41,0,,0,0,0,1,1,0,0,8,730,Existing - Non-Strategic,Other,50.14,-0.58,33789,9,6,4,4,41,10,486.7,123783,Phase-Based Caps,0,1,0,252268,97.8,0.071,0
IP,IP - Litigation,1,Litigation,Other,,0,0,0,0,0,0,0,0.35,0,,0,0,1,1,1,1,1,10,730,Existing - Strategic,Other,63.51,1.94,41068,9,5,5,5,9,7,581.2,164422,Success Bonus Structure,0,0,1,298848,85.2,0.137,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,2,177,0,0,0,0,0,2,177,Existing - Strategic,Life Sciences,28.21,1.52,11334,9,3,1,10,45,3,95.5,15209,Hourly,0,0,0,26030,72,0.056,0
IP,IP - Prosecution,1,Prosecution,AI,,0,0,0,5,1,0,0,0,0,,0,0,0,0,0,0,0,7.5,365,Existing - Strategic,Manufacturing,18,1.17,25857,1,4,2,4,22,7,26.1,5910,Volume-based Discount Model,0,0,0,11217,95.3,0.944,1
IP,IP - PTAB,1,PTAB,AI,,0,0,0,0,0,3,7,0,0,,0,0,0,0,0,0,0,10,540,Existing - Non-Strategic,Tech,45.05,0.81,37647,1,10,5,1,38,9,302.7,76887,Caps + Collars,0,1,1,167470,119.7,0.121,0
IP,IP - Litigation,1,Litigation,Biotech,,0,0,0,0,0,0,0,0.2,0,,0,0,1,1,0,1,1,10,730,New,Tech,71.37,1.7,40536,10,3,10,7,33,5,421.3,63805,Contingency + Base,0,0,1,111845,74.3,0.09,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,4,308,0,0,0,0,0,4,308,New,Manufacturing,43.93,1.65,17929,5,2,5,0,20,9,117.8,33947,Hourly,0,0,0,69141,106.2,0.163,0
IP,IP - Prosecution,1,Prosecution,AI,,0,0,4,6,0,0,0,0,0,,0,0,0,0,0,0,0,10,365,Existing - Non-Strategic,Life Sciences,38.03,1.31,29111,2,1,2,8,10,10,85.4,22730,Fixed Fee per OA,0,0,0,47895,103.7,0.292,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,7,237,0,0,0,0,0,7,237,Existing - Non-Strategic,Manufacturing,37.41,-1.32,23456,7,2,3,5,17,1,75,17938,Success-Based,0,0,1,29613,67.6,0.167,1
IP,IP - FTO,1,FTO,AI,,0,0,0,0,0,0,0,0,16,Narrow,0,0,0,0,0,0,0,5.16,30,Existing - Non-Strategic,Other,3.14,-1.49,16685,10,1,2,10,16,9,49.9,11920,Ongoing Subscription,1,0,0,15757,34.4,0.547,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,8,592,0,0,0,0,0,8,592,Existing - Non-Strategic,Tech,16.3,0.61,30440,10,3,2,8,27,5,126.9,27516,Phase-Based,0,1,0,47331,64.5,0.19,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,3,187,0,0,0,0,0,3,187,Existing - Non-Strategic,Finance,20.92,1.58,12287,10,3,7,2,19,8,30.3,8898,Phase-Based,0,1,0,19414,115.8,0.288,1
IP,IP - FTO,1,FTO,Semiconductors,,0,0,0,0,0,0,0,0,41,Moderate,0,0,0,0,0,0,0,7.41,30,Existing - Non-Strategic,Finance,95.67,1.3,19379,10,2,8,9,47,10,79.7,17725,Fixed Fee per FTO,0,0,0,36988,110,0.226,0
IP,IP - PTAB,1,PTAB,Semiconductors,,0,0,0,0,0,1,7,0,0,,0,0,0,0,0,0,0,10,540,New,Finance,52.24,-0.57,34318,1,6,9,10,38,8,348.1,79939,Fixed Fee – Petition Only,0,0,0,125580,56.7,0.032,0
IP,IP - PTAB,1,PTAB,Pharma,,0,0,0,0,0,0,6,0,0,,0,0,0,0,0,0,0,9.2,540,Existing - Non-Strategic,Energy,133.77,-0.74,34500,3,4,9,8,48,10,269.5,50886,Fixed Fee – Petition Only,0,0,0,81063,61.6,0.08,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,2,76,0,0,0,0,0,2,76,New,Finance,51.31,1.98,9085,2,6,11,8,19,2,46.3,8963,Fixed Fee,0,0,0,16739,88.6,0.113,0
IP,IP - Patent Drafting,1,Patent Drafting,Semiconductors,Simple,13,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4.325,30,Existing - Non-Strategic,Manufacturing,82.39,-1.5,14258,5,6,11,6,29,6,51.6,8978,Fixed Fee per Application,0,0,0,15678,72.3,0.371,1
IP,IP - Prosecution,1,Prosecution,Biotech,,0,0,2,5,1,0,0,0,0,,0,0,0,0,0,0,0,9.5,365,Existing - Strategic,Manufacturing,55.93,-1.06,33920,2,6,9,3,39,7,71.3,12420,Fixed Fee per OA,0,0,0,23320,90.7,0.706,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,2,144,0,0,0,0,0,2,144,Existing - Non-Strategic,Other,50.71,0.41,12160,5,8,1,8,12,9,113,29030,Hourly,0,0,0,53338,86.9,0.101,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,8,414,0,0,0,0,0,8,414,Existing - Strategic,Tech,174.8,-1.72,29220,5,6,5,0,4,3,134.5,34219,Subscription,1,0,0,54186,51.7,0.01,0
IP,IP - Litigation,1,Litigation,Other,,0,0,0,0,0,0,0,0.15,0,,0,0,1,0,0,0,1,10,730,Existing - Strategic,Finance,25.52,-1.09,38764,1,5,10,8,16,10,494.6,147480,Collar (Risk-Sharing),0,0,1,295058,103.7,0.046,0
IP,IP - PTAB,1,PTAB,MedTech,,0,0,0,0,0,1,3,0,0,,0,0,0,0,0,0,0,9.6,540,New,Finance,143.95,0.46,33563,5,7,4,9,2,2,481.9,141399,Blended Rate,0,0,0,309776,115.2,0.01,0
IP,IP - PTAB,1,PTAB,MedTech,,0,0,0,0,0,1,3,0,0,,0,0,0,0,0,0,0,9.6,540,New,Manufacturing,24.21,0.39,33411,2,3,9,7,45,1,367.3,59717,Blended Rate,0,0,0,102398,70.7,0.01,0
IP,IP - Patent Drafting,1,Patent Drafting,Pharma,Simple,13,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4.325,30,New,Manufacturing,76.94,-1.09,11099,1,1,10,7,35,5,71.6,12259,Hourly,0,0,0,24923,100.3,0.01,0
